City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Sao Mateus,BR,83.53,scattered clouds,-18.7161,-39.8589,Hotel Rio Norte
553,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
555,Labuan,MY,82.56,heavy intensity rain,5.2767,115.2417,Tiara Labuan Hotel
557,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
558,Cabo Rojo,PR,82.67,clear sky,18.0866,-67.1457,Hotel Perichi's
559,Yanam,IN,81.0,overcast clouds,16.7333,82.2167,The Regency Hotel
568,Matara,LK,77.61,clear sky,5.9485,80.5353,Amaloh Boutique Resort
571,Port-Gentil,GA,80.33,clear sky,-0.7193,8.7815,Fengshui Residence
573,Amalapuram,IN,80.98,overcast clouds,16.5833,82.0167,swayamprabha service apartments
574,San Andres,CO,78.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
575,Luganville,VU,78.69,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
579,Sal Rei,CV,77.56,clear sky,16.1833,-22.9167,Marine Club Beach Resort
580,Mogadishu,SO,78.33,broken clouds,2.0371,45.3438,Hotel Juba
584,Soyo,AO,82.36,broken clouds,-6.1349,12.3689,Hotel Mpampa
595,Ghanzi,BW,82.08,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
600,Sao Sebastiao,BR,83.43,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
615,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
621,Ladario,BR,86.29,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
625,Treinta Y Tres,UY,81.91,overcast clouds,-33.2333,-54.3833,Jardines Apart-Hotel
628,Mweka,CD,81.05,overcast clouds,-4.85,21.5667,Guest House Boshab
630,Kieta,PG,81.23,light rain,-6.2167,155.6333,Uruna Bay Retreat
633,Tabou,CI,84.56,broken clouds,4.423,-7.3528,hotêl doufoulougou
639,Moyale,KE,88.09,overcast clouds,3.5167,39.0584,La Tahzan Guest House
646,Mana,GF,81.01,broken clouds,5.6592,-53.7767,LE SAMANA
648,Hambantota,LK,77.86,clear sky,6.1241,81.1185,Bungalow 63
657,Mitsamiouli,KM,80.78,light rain,-11.3847,43.2844,Foyer ADM
659,Padre Bernardo,BR,83.71,scattered clouds,-15.35,-48.5,
660,Dalaba,GN,87.58,clear sky,10.7,-12.25,Hôtel Tangama
661,Cururupu,BR,80.98,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
662,Sao Jose Da Coroa Grande,BR,84.54,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
